epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5000.76,1.15769,0.58547,0.8999,0.91003,0.91134,0.92683,0.59505,1.25138,0.59185,0.93148,0.000185171,0.000185171,0.000185171
62,5083.59,1.16065,0.59066,0.90115,0.91715,0.91767,0.93359,0.60773,1.22518,0.58833,0.92493,0.000177433,0.000177433,0.000177433
63,5165.15,1.14295,0.57632,0.89627,0.91777,0.91753,0.93537,0.60383,1.24842,0.5813,0.93354,0.000169781,0.000169781,0.000169781
64,5246.6,1.12309,0.56598,0.89757,0.9124,0.9141,0.93624,0.60742,1.20741,0.57879,0.9185,0.000162225,0.000162225,0.000162225
65,5328.6,1.12475,0.564,0.89322,0.92041,0.91036,0.94396,0.61886,1.1923,0.57197,0.91811,0.00015477,0.00015477,0.00015477
66,5411.01,1.10989,0.55417,0.89328,0.91302,0.90536,0.93315,0.61526,1.20317,0.56901,0.92215,0.000147424,0.000147424,0.000147424
67,5492.79,1.10092,0.54445,0.89078,0.92182,0.91282,0.94133,0.62141,1.20298,0.56908,0.92112,0.000140196,0.000140196,0.000140196
68,5574.37,1.10857,0.55288,0.89382,0.92114,0.9096,0.93655,0.6183,1.19667,0.56148,0.91851,0.000133091,0.000133091,0.000133091
69,5656.28,1.07662,0.53547,0.88756,0.92475,0.91813,0.9408,0.62339,1.20291,0.55698,0.92289,0.000126117,0.000126117,0.000126117
70,5737.86,1.0798,0.53202,0.88736,0.92474,0.91875,0.93973,0.62262,1.2004,0.54685,0.92374,0.00011928,0.00011928,0.00011928
71,5819.74,1.06492,0.52783,0.88626,0.92575,0.91968,0.94288,0.63588,1.16502,0.54155,0.91351,0.000112588,0.000112588,0.000112588
72,5902.9,1.06401,0.52725,0.88061,0.93076,0.92567,0.94781,0.63413,1.16178,0.53863,0.91259,0.000106047,0.000106047,0.000106047
73,5986.45,1.03646,0.50973,0.87514,0.93388,0.93196,0.9491,0.63846,1.1686,0.52701,0.91552,9.96639e-05,9.96639e-05,9.96639e-05
74,6070.28,1.02978,0.50444,0.87767,0.92873,0.92518,0.94862,0.64048,1.15346,0.53605,0.91068,9.34442e-05,9.34442e-05,9.34442e-05
75,6154.95,1.02092,0.4992,0.87396,0.92876,0.92549,0.94851,0.63774,1.15294,0.53102,0.9116,8.73945e-05,8.73945e-05,8.73945e-05
76,6237.89,1.02231,0.49983,0.87612,0.92929,0.92666,0.94337,0.64271,1.15534,0.52494,0.9136,8.15206e-05,8.15206e-05,8.15206e-05
77,6320.38,1.01192,0.49982,0.87398,0.92838,0.92539,0.94716,0.63999,1.14496,0.52796,0.91111,7.58284e-05,7.58284e-05,7.58284e-05
78,6402.04,1.01473,0.49694,0.87159,0.92812,0.92815,0.94897,0.6423,1.1455,0.52726,0.9119,7.03236e-05,7.03236e-05,7.03236e-05
79,6484.28,0.99664,0.48679,0.86973,0.93591,0.93076,0.95134,0.64615,1.14522,0.51656,0.9098,6.50115e-05,6.50115e-05,6.50115e-05
80,6568.38,0.98706,0.47838,0.86551,0.92674,0.92792,0.94947,0.65028,1.13059,0.51425,0.90839,5.98973e-05,5.98973e-05,5.98973e-05
81,6654.15,0.98916,0.47911,0.86782,0.93231,0.93017,0.95285,0.65387,1.12251,0.51043,0.90561,5.49862e-05,5.49862e-05,5.49862e-05
82,6743.58,0.96814,0.47422,0.86086,0.93443,0.92797,0.94932,0.65356,1.12387,0.51157,0.90764,5.0283e-05,5.0283e-05,5.0283e-05
83,6833.58,0.98134,0.47937,0.86717,0.93529,0.92669,0.95125,0.65185,1.12046,0.50827,0.90652,4.57923e-05,4.57923e-05,4.57923e-05
84,6924.69,0.96469,0.46878,0.86086,0.93359,0.93619,0.95246,0.65331,1.13111,0.50324,0.90971,4.15186e-05,4.15186e-05,4.15186e-05
85,7014.88,0.96072,0.46478,0.85927,0.93811,0.93322,0.95206,0.65823,1.1159,0.49868,0.90573,3.7466e-05,3.7466e-05,3.7466e-05
86,7105.56,0.9587,0.46542,0.86088,0.93356,0.93326,0.95421,0.66276,1.10381,0.49912,0.90263,3.36386e-05,3.36386e-05,3.36386e-05
87,7194.13,0.95803,0.46343,0.85932,0.9401,0.93395,0.95557,0.66279,1.10976,0.49706,0.90511,3.00402e-05,3.00402e-05,3.00402e-05
88,7280.87,0.95019,0.46271,0.8581,0.93991,0.93359,0.95316,0.66065,1.11035,0.49718,0.90556,2.66742e-05,2.66742e-05,2.66742e-05
89,7367.92,0.94475,0.46028,0.85945,0.93633,0.9316,0.95108,0.66087,1.0994,0.49562,0.90283,2.35441e-05,2.35441e-05,2.35441e-05
90,7454.63,0.93586,0.45511,0.85688,0.93639,0.93387,0.95288,0.6623,1.10312,0.49471,0.90368,2.06529e-05,2.06529e-05,2.06529e-05
91,7542.33,0.93153,0.43171,0.86953,0.94074,0.92857,0.95048,0.65379,1.12029,0.50109,0.90787,1.80034e-05,1.80034e-05,1.80034e-05
92,7629.47,0.91861,0.42903,0.86643,0.93677,0.93828,0.95299,0.65959,1.11132,0.49448,0.9053,1.55983e-05,1.55983e-05,1.55983e-05
93,7716.37,0.90964,0.42417,0.86582,0.93655,0.93456,0.95149,0.65607,1.12246,0.494,0.90812,1.344e-05,1.344e-05,1.344e-05
94,7803.26,0.90112,0.42215,0.86225,0.93876,0.93796,0.95343,0.65954,1.11465,0.49318,0.90673,1.15306e-05,1.15306e-05,1.15306e-05
95,7889.59,0.90053,0.41807,0.8599,0.93806,0.93445,0.95364,0.65791,1.1165,0.49476,0.9063,9.87187e-06,9.87187e-06,9.87187e-06
96,7976.52,0.89229,0.41953,0.86089,0.93729,0.93806,0.95407,0.65872,1.12222,0.49197,0.90752,8.46559e-06,8.46559e-06,8.46559e-06
97,8063.31,0.89321,0.41496,0.85721,0.93603,0.93787,0.95208,0.65997,1.11754,0.48958,0.90735,7.3131e-06,7.3131e-06,7.3131e-06
98,8149.42,0.88682,0.41659,0.86139,0.93675,0.93751,0.9532,0.65949,1.11375,0.49077,0.90625,6.41553e-06,6.41553e-06,6.41553e-06
99,8236.3,0.89757,0.41939,0.86375,0.93661,0.93397,0.95027,0.66097,1.11116,0.48978,0.90604,5.77378e-06,5.77378e-06,5.77378e-06
100,8322.57,0.88447,0.41342,0.86019,0.93617,0.93765,0.95154,0.66062,1.11514,0.4899,0.90692,5.38848e-06,5.38848e-06,5.38848e-06
